"","n","t","j","ASC_1","ASC_2","ASC_3","ASC_4","ASC_5","ASC_6","ASC_7","ASC_8","ASC_10","ASC_11","ASC_12","ASC_13","ASC_14","ASC_15","ASC_16","ASC_17","ASC_18","ASC_19","ASC_20","Price"
"20960",842,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20961",842,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20962",842,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.69
"20963",842,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.39
"20964",842,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.39
"20965",843,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20966",843,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59
"20967",843,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20968",843,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20969",843,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39
"20970",843,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.59
"20971",843,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.59
"20972",843,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20973",843,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20974",843,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59
"20975",843,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20976",843,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20977",843,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20978",843,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.59
"20979",843,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.59
"20980",843,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.19
"20981",843,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19
"20982",843,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20983",843,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20984",843,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39
"20985",843,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"20986",843,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.69
"20987",843,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.99
"20988",843,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.19
"20989",843,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
"20990",843,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20991",843,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20992",843,4,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39
"20993",843,4,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"20994",843,4,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.69
"20995",843,4,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.99
"20996",843,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.19
"20997",843,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
"20998",843,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20999",843,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"21000",843,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39
"21001",843,5,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"21002",843,5,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.69
"21003",843,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
"21004",843,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"21005",843,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"21006",843,6,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39
"21007",843,6,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"21008",843,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.69
"21009",843,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
"21010",843,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"21011",843,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"21012",843,7,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.65
"21013",843,7,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"21014",843,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.79
"21015",843,7,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.99
"21016",843,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.29
"21017",843,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
"21018",843,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"21019",843,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"21020",843,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.49
"21021",843,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.79
"21022",843,8,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.79
"21023",843,8,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.99
"21024",843,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.29
"21025",843,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"21026",843,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"21027",843,9,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"21028",843,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"21029",843,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.29
"21030",844,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"21031",844,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43
"21032",844,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
