"","n","alpha_ASC_1","alpha_ASC_2","alpha_ASC_3","alpha_ASC_4","alpha_ASC_5","alpha_ASC_6","alpha_ASC_7","alpha_ASC_8","alpha_ASC_10","alpha_ASC_11","alpha_ASC_12","alpha_ASC_13","alpha_ASC_14","alpha_ASC_15","alpha_ASC_16","alpha_ASC_17","alpha_ASC_18","alpha_ASC_19","alpha_ASC_20","beta_Price"
"29",29,-4.95699635389175,-4.64218035156795,-2.20358424499818,-5.67531984025026,-5.25211017353096,-2.1126055890254,-2.5578593411537,-2.7611583495943,-1.23674390872124,-1.04040662695147,0.968099573908346,-0.66676072353048,1.00622079228159,-0.158870918596286,-3.66778444128871,-0.0279698195968417,1.28234478171242,2.73273423005994,2.00214029842231,-5.09413374612283
"30",30,-3.46916797195018,-1.93881047290289,-0.77582858150569,-1.3183060905543,-2.62722242400143,2.16704424231826,-0.649862646126776,-1.9422184913633,-2.80498656630416,-0.761869192776079,0.987685808487193,-1.86191549119124,-0.132522313617092,-1.6490195118697,-2.6666251241398,0.738967912132633,-1.75586388018597,2.54026602049044,1.9377520327333,-3.54293549228227
"31",31,-2.48075427857991,-0.845119627321875,3.39357838286352,-1.08505407072829,-0.701993238157126,-0.563424868035665,1.77323418641074,-0.452884499115362,-2.04333849774524,0.635219682400555,-0.133721825194276,-1.18481787351828,-2.32680764404917,-1.03485842042332,-3.34700478209687,3.2605052443443,0.164330319822038,2.77239773516909,2.84671238608484,-1.84231500612987
"32",32,-4.486329033614,-4.48154439762186,-2.91220082145121,-6.53747483020405,-7.33602592325718,-3.39099083719735,-5.81049760354522,-4.48018135590981,-3.67590627115595,-1.36561448501115,0.90540770063789,-0.945100067345688,2.21207674750728,0.165797420380018,-3.41196846246321,-0.833963081654776,1.89059643039757,1.44385019018866,-0.00664650808026754,-3.92636425656938
"33",33,-3.50640456939839,-1.08752938134981,-1.86097930803539,-2.18919963566385,-3.51898221436467,-0.992618474777929,-0.816441865924145,-1.68607221727385,-2.84860718681,-1.21475748049293,-0.886340588541628,-2.13661897013581,0.140414078280676,-1.31839832949101,-2.91066211687756,2.24209994460218,-1.0447449799107,2.5177860393594,2.7837827915186,-4.38829912290606
"34",34,-1.46776120853851,1.5232966047645,-0.744439272845654,2.42897742950035,0.790522267439421,0.265991993674029,1.43125520222564,-0.137443377226194,-1.93706155728809,-0.131230493929794,-1.62743490439967,-1.55029423568745,-1.81105460897485,-3.48159217048398,-1.645322800981,2.09391755124722,-2.24062486155012,2.57153004520908,3.12706500397937,-2.51833226053705
"35",35,-3.5030286207799,-5.6695148698473,-4.12313568274582,-6.71762120980681,-6.50550643006005,-4.14937009292015,-5.90939409845311,-4.99039704149716,-3.1239638501611,-1.83182703389173,0.00781922552058349,0.233863401824122,1.5798412729057,-1.06243504769047,-2.97355792319848,-1.88412557634293,1.55389473902485,1.87991655219037,1.9544551824927,-3.47279780349933
"36",36,-2.4902469874732,-0.578128343971122,-1.4760847630107,1.41631792935858,-2.45694075126176,-1.22545987219565,-0.652809980264981,-0.515075277686874,-2.10091294957007,-0.37000113303973,-2.28331213809088,-0.0347042665089469,-1.21514693752793,-2.19209016609544,-1.34972743742131,1.22901324695321,-0.635220306104756,3.66811159515233,4.86874907648314,-3.45182757560404
"37",37,-2.10777463428685,-4.32575698499736,-2.46377542399954,-4.72707152740551,-4.93285091573195,-3.03031150154349,-2.13876360585565,-4.19978527707789,-2.40947716572862,-0.53070697918114,-0.345143153524311,-1.57138734684871,0.723557100445021,-1.73759752399165,-2.68309680671667,0.151016790751933,1.82337172934038,1.66952513908752,1.04200686767802,-4.19383227464904
"38",38,-4.55269852967109,-3.56011056861502,1.29577654901452,-5.34705724896453,-4.36000003806,-2.66041204170319,-3.42009162593299,-1.98179483836835,-2.5677675973107,0.587350719763283,0.939117659981534,-0.421472879517762,-0.323011945678485,-0.360744322924547,-3.07760521003603,0.197497504271807,0.857606835165734,2.98928889098313,2.45720625437086,-3.93213729696371
"39",39,-2.95467053704971,0.155657262641245,-0.795841152844995,-0.773883761130478,0.116086863577924,0.0217030252839167,3.51733270275134,-0.0496284581714535,-1.65430955377323,-0.404116339690374,-0.782299992241689,-1.98230930532944,-0.897516036676705,-1.38879117522014,-3.39893636452946,3.86913270003421,-2.08849811978715,2.79038934165818,2.04128467070969,-3.71012845150084
"40",40,-3.47352832517279,-1.40772861627511,-0.283248346866977,-1.59771306153494,-1.40227785932079,-0.663212403011678,1.76378630491254,-0.694763083175195,-2.50513130390783,0.03632673917725,-0.577723089499293,-1.8573095982488,-1.20445334772068,-1.32740319813898,-3.03060818889216,2.37131196144079,-1.1583210197164,2.67129315428832,2.82564503060941,-4.38590215733357
"41",41,-3.15766801507082,-3.11192742481764,-1.95553480693403,-3.98074388195577,-4.50579900395037,-1.92439666549312,-2.28262472935817,-2.75456606333558,-2.55918656725765,-0.896540621967993,0.533293121519675,-1.28299759456475,0.858918908221395,-1.07938395558286,-3.35177526629933,0.20562768854184,0.301968616845013,2.45796349218557,2.0310653323658,-5.69248302436371
"42",42,-3.9051036034615,-3.69243092753201,-1.74537059181347,-4.56531553339499,-4.76397080953631,-2.22362932982336,-3.51285091687353,-2.89636052948602,-2.30968303307184,-0.774191442488471,0.107803078965663,-0.807430119157255,0.446674140230583,-1.11882328089337,-2.34010266304771,-0.781958425168805,0.610461266447468,2.99653596716657,2.01319722348151,-3.2113174198925
"43",43,-3.77184483541778,0.442954422975963,-2.20550103692879,-1.60212249533933,-3.61521368552328,-0.986933544693827,-2.11186262983841,-2.27190692125986,-3.25705443938505,-1.12629195227768,0.424615274172491,-1.219064248978,0.225001006965714,-2.08306569262617,-1.23855961993026,0.921196832766604,-0.0939359830169786,1.30851078149935,2.28027674591745,-3.52579491363819
"44",44,-3.86081835203436,-4.2806971972402,-0.621406703243542,-4.4294716112006,-3.45747964618001,-0.901452197771826,-1.46607715748472,-2.29603698227675,-2.41941931726623,-0.643038675679202,1.31378502918667,-1.28498093006089,-0.0429011543065402,-0.738792577528635,-4.06227892383053,0.976868712466334,0.292926206166793,2.78712912939987,2.66261608965367,-5.00561534386464
"45",45,-3.01577491092162,-1.78312547366765,2.87594891922699,-1.95438393824563,-1.72362483489469,0.0216803660192914,0.641061901359068,1.31590640677202,-2.87658706186734,0.463626878573164,-0.163942085565511,-1.43179128173481,-1.54583227462505,-0.775301216794148,-3.28061392161323,2.92815921691731,-0.961335166792591,3.02004520981702,3.12034990561679,-3.81891798874341
"46",46,-2.531548085944,0.578891029796754,0.653318709631428,0.545395771876642,0.199547264472109,0.501382075933224,4.06298810220873,0.303174922491295,-1.1484208921058,0.215533628904889,-0.696400982299329,-1.25938563593245,-1.94485654385083,-1.09443131753403,-2.5521179727641,3.4196679006348,-2.60064570814108,2.73887749111155,2.99769756867328,-2.84156431274284
"47",47,-3.79220642956631,-0.470823197992611,1.32613532455853,-2.26974743217137,-3.45537031188847,-3.39984965511334,-3.63634754728718,-1.10299905131503,-2.680714015269,0.220997470619241,-0.281471793888824,-0.37041301104665,0.88866497374075,-0.100261893292832,-0.901989869444256,0.753587121408605,1.11531413207355,2.60852738653988,3.93621664876455,-2.56205347892617
"48",48,-2.42710554393756,-2.03296423705918,2.18268850338043,-2.34916754590457,-2.80323150218208,-1.41135937175558,-1.91292126538867,-1.38177746876056,-2.34714787997246,0.607883235008918,0.61023922743285,-1.8573009323444,-1.24119173078939,-0.825792456713623,-2.74780792933012,0.890973933333534,-0.241832271804766,2.14918994109508,3.20875913714543,-2.68540429413774
"49",49,-3.78753611354098,-1.83481673066654,-1.10547885383867,-3.12572249789523,-2.97162987890895,-1.66651442539128,-1.42714450512694,-0.892944363980596,-2.00614129970138,-0.971515540686826,-0.50417773910532,-1.15292603643535,1.25017277972906,-0.538881202495165,-2.58073170897199,1.74583139847799,0.0911037339407601,1.94549555043017,1.53209987351049,-2.86642752043919
"50",50,-2.49949534716167,-1.19515498743073,1.21990780011688,0.0866894721208168,-0.112184976886767,1.75948599694182,3.19486057089365,0.675112703575678,-2.60224338292086,-0.100433256539226,-0.188431180575128,-1.85123545505444,-2.35691869484344,-1.6151417994876,-3.43664653137698,2.60453191479538,-2.09113780389699,3.18196603660003,3.76262410049374,-4.32279336370555
"51",51,-2.78935649124809,-1.8079287446304,-2.92647558102714,-4.25005694065418,-3.5282211323336,-2.16147698696053,-2.19189796939138,-2.53436842735017,-1.88078207519278,-1.71664862755972,0.233434352637238,-0.432181538654679,1.80624899873839,0.233254139927976,-2.39735475379527,2.37959191698742,0.433933910429822,2.40855058480925,1.45940601664443,-2.11777923313727
"52",52,-4.31213724049467,-4.45893351346981,-0.720525605395916,-5.03968112604289,-5.34419740620767,-2.31850088118665,-3.69153985803295,-2.24797883215027,-2.96089794716725,-0.689637517140302,0.643776113458708,-1.1045600367281,0.816276489929416,0.117791018424722,-3.57921722947991,-0.714403054843315,-0.0821775263557234,2.40032095139462,1.40101591213853,-4.14635947653216
"53",53,-1.37655107538155,-0.4478538339692,-2.49062749040603,-1.15637987667452,-3.13122503997098,-2.30550266610897,-2.79523763643466,-2.91795399126882,-1.76085773658402,-1.33294353987131,-1.56371462325542,-0.192235490528493,-0.683321182651377,-2.52845459075744,-0.261086703623354,0.0177247070006428,0.644191557404833,2.30285119793557,2.56877297074776,-1.86720731795805
"54",54,-3.93379342611503,-0.177846814818298,-1.92616004181939,-2.63038643310776,-3.65270216002259,0.329259254885397,-1.78476406466061,-1.59354668480271,-2.01097082889871,0.00625568671929725,0.174500183883025,-0.665785154999248,0.831968081436341,-0.915327210265804,-2.07003525065164,2.33416995179846,-0.144876125194502,1.9857372599438,0.875319198636989,-3.23260726374535
"55",55,-4.86219919739819,-5.72788475902369,-3.69617502074989,-7.19861627584583,-6.45723354705669,-3.86539537238456,-5.76137250049622,-4.35435931068305,-2.77444982981124,-1.31321622816498,0.258156748591269,-0.123787636245624,2.53557801440737,-0.223947440122372,-2.67614993839765,-2.18117332971213,2.14670454920672,2.2635129426085,1.37248161427446,-4.23415694531052
"56",56,-2.95571164869708,-1.84431907780435,-0.854004185672081,-2.87134922816995,-0.674636029119078,-1.61641461189822,-0.46519164217937,-1.37156969812108,-2.46832747806331,-0.379390890659414,-1.12616554551716,-1.92457794436725,-0.432606249858333,-0.813884659450273,-3.08366210284894,1.21248753817162,-0.909609399076481,2.31676965513469,1.17441798302646,-2.67268377897748
"57",57,-4.03297384475115,-3.68477545128047,-1.68175328365405,-4.18936230683661,-4.51929202193272,-0.138012152024827,-1.80633457961001,-2.30855074723265,-2.29778819808,-0.0786617244423959,0.702098711390852,-0.965821978221928,0.577560286783261,-0.9376958509385,-3.13117690073081,0.677785818333669,0.402847644452632,2.47957091649871,2.13156576792923,-4.73796159634148
"58",58,-2.25940574547015,0.442026247632241,-0.823896832185969,1.66282065002785,-1.8184638254392,0.15190163100528,0.933493000827812,-0.0290078952800886,-2.22999130809731,0.0595274142656699,-0.896898854665795,-2.18352114882877,-1.86526355497827,-2.87414099042368,-2.61080838489558,1.63224899755187,-1.66171887084598,2.58017522641845,2.73746558187284,-3.1597431194671
"59",59,-3.25430707923224,0.0421870941592388,-0.964563140952842,-0.355447211746593,-1.97434522018657,-0.496292031163489,0.715020290227864,-0.47811694166339,-2.2804950602038,-0.445384294327617,0.319221211354553,-2.12301341905211,-0.301022081904362,-1.45081250042973,-2.49888944322905,2.21047235679456,-2.23153687663382,1.95717646796502,1.3876663685627,-4.06218156745179
"60",60,-4.6672845842317,-4.1837337043989,-2.65289162643655,-5.30564527465036,-5.12819146276273,-3.5453712218821,-4.85135168406312,-2.46770723766415,-1.71199226600149,-1.56302229123083,-0.440090421760701,-0.00534744312551641,2.45604092915506,0.418449918706578,-2.41222869681136,-1.23245010958949,1.00924059672881,2.65707777667567,1.85844890166536,-2.12269069964715
"61",61,-1.45263176448914,1.09563076369629,-1.17317463216147,1.65076782214695,-0.434830413918579,0.352061717447663,0.572041919274525,-0.252343860051493,-1.74354203792155,-0.16880393084536,-1.08201438869557,-1.62880340162025,-0.0193455385939681,-1.91355695968743,-1.78959197146799,2.10517155136021,-1.91385304753274,2.83652583427486,3.24301663109887,-2.88564111682465
"62",62,-2.98626967161896,0.241654421737441,-0.694852929741902,-0.176670827346292,-0.500573945788768,0.513347169032777,3.668809283557,-0.453785851191559,-1.33566874388108,-0.126539847107623,-0.334612482429001,-1.83455176385256,-1.36621600362391,-2.1038101020767,-3.21715068961973,3.11356149468379,-2.03172495826326,1.84143257047753,2.06077030428923,-3.60099007438028
"63",63,-3.24718128790025,-2.17961511829814,0.311024601480526,-0.719813772584834,-0.692252192632142,0.636241414090617,2.4295328746933,0.5143349503647,-2.84876146126318,0.157185572318537,-0.203778939099649,-1.7188761388998,-2.22867335832864,-1.56866511541637,-4.36244104478898,2.25669254810507,-1.82488882063287,3.03011602664486,3.34510750917633,-5.00757145846188
"64",64,-2.86932976030492,1.81396435488453,-0.549239528423609,-0.0740908652214407,-1.82484798741645,-0.255690283603056,0.16589836619854,-0.492926362478027,-2.14886512386866,-0.0691747257966366,-0.49782551633575,-1.96288884480344,-0.651064255826075,-0.796133931135182,-2.52183627947281,3.50551726831838,-1.52438015498212,1.52139892718538,2.0780556724848,-3.62278449560844
"65",65,-5.02310249268184,-2.96604741249234,-2.652534590327,-4.03910114336782,-4.81975096090922,-1.98962933463395,-2.78360787394436,-0.831140331089892,-2.54681725336376,-1.23039000505052,-0.201994270957411,-1.39498437688183,3.23718102085746,-0.718090481640875,-2.72799245602014,0.109000699383043,-0.610783665178719,2.58992638277053,2.14640118538312,-4.46646499541776
"66",66,-2.42422193246299,0.689636751635659,-0.305035178039658,1.51282389553553,-0.704273017157544,-0.614126422348937,0.0718980377608938,-0.822450312706932,-1.6935088168941,-0.149586205998397,-1.51636737437113,-1.91818399281944,-1.24518143591884,-3.24397048064368,-1.59459154755754,1.15362010249553,-0.234071041644645,1.55436237938124,2.08587457445575,-2.3380832778606
"67",67,-2.02427079734991,-4.70232700576846,-2.35238277251946,-3.99612851287546,-5.03213314027592,-2.06211170095533,-1.61106971628333,-4.41858438301701,-2.23559821138741,-0.8388758754938,-0.583275463067895,-0.385038097773159,-0.112711809387676,-1.42212518032609,-2.79377234663247,0.18185909078991,0.844191686403283,2.46923700538673,1.98752246684937,-4.33350377586218
"68",68,-5.70122228115417,-6.11465599295197,-0.0248712216912234,-8.33548612475589,-6.85604516554314,-4.4775989383061,-7.02006785211415,-4.33107076677278,-3.34138887695547,-1.62322130981291,1.66351637837063,0.263483471895047,2.26299054451454,2.07666201525301,-3.61724555811056,-1.73245090218844,1.03949917389607,1.79119244550891,1.58547705314863,-3.49306693005814
"69",69,-2.18981102877845,-1.92666453038526,-2.22434735813819,-2.94509858022293,-1.27323097413445,-1.70407002703341,-0.0442976587407501,-2.2672399786076,-2.25739268119186,-1.94455411034681,-0.655447026644319,-1.60524963650941,0.18894511270327,-0.230311640626757,-3.4452007853352,1.48595771012126,-1.36556306699401,1.56277640493715,0.985567285443024,-1.24207384396297
"70",70,-3.23963034728399,0.877531698882236,1.76056411432871,-0.0704600796966211,-1.12282341478601,0.0923356072001194,1.47674434621412,0.37786556016794,-2.58624531722332,0.720434717051836,-0.674379682723834,-1.98801223775515,-2.28737474765987,-1.92446518373123,-2.24909399234744,2.73015227812146,-2.64816531725707,2.20847775150528,3.68582113795384,-4.48655955530761
"71",71,-3.95939268178908,-2.10814870037987,-1.76805371660307,-2.37464249468613,-2.50871800117789,0.742438885317346,0.593058182090971,-1.6673262758298,-2.4111423577394,-1.08752697320731,-0.010323069336095,-1.61502432862081,0.237695673745574,-0.771807474897361,-2.95044683724753,1.44322890864582,-1.25286994043633,2.84274052216801,1.85858009091945,-3.23631572208905
"72",72,-2.1086890128944,2.14817441299755,2.65882952699029,1.39403696149856,0.79478587680982,-0.431163937128305,1.21736835333832,1.11975692471185,-2.51999651819064,1.14903822115036,-1.33698029983353,-2.67837855297488,-3.32746191326927,-2.58669566826152,-3.85802623651484,1.95524418489023,-1.40137030068725,2.48501555919661,3.29195680261929,-2.37551615680641
"73",73,-3.98380966376102,-1.15639303243495,-0.883346785743606,-1.60513108628783,-0.842208610240979,-0.0950888947053593,2.97409540911628,-0.0674062687306977,-1.03147881924883,0.268522440318656,-0.646653993909776,-1.41910440665424,-0.897172023646576,-0.15522721936497,-3.31027222103376,3.30786278455804,-1.49218293189504,2.8791762309669,2.19967353967041,-4.10417207727893
"74",74,-5.70185981477745,-5.14128439802261,-3.33104007770991,-6.74709760414053,-7.59760647387232,-4.12443217524793,-5.95190126899858,-4.50956598881428,-2.54040997172404,-1.53798244311836,0.40377568463459,0.148511248344957,2.9358766700047,-0.443724089228243,-2.77260619677739,-2.30882041764536,2.62279830530586,2.24764458067217,1.91479929379809,-4.4906103540128
