token   site    ad      country (rtb)   (account)       campaign spotbuy        app_id  device  token   clicks convert                                
1szge	32785	21761	219	false	3675		1	false		4501	1szge	0	0
1y6ii	19819	22501	219	false	3475		1	false		263	1y6ii	0	0
275dh	21251	22263	82	false	3953		1	false		263	275dh	0	0
28k81	21251	22263	219	false	3953		1	false		263	28k81	0	0
323ld	20858	21417	219	false	3675		1	false		263	323ld	0	0
3ruk6	20316	22157	16	false	3675		3	false		454	3ruk6	0	0
3whg1	21149	20203	219	false	3104		1	false		263	3whg1	0	0
47556	21251	22263	219	false	3953		1	false		263	47556	0	0
4gyhm	21251	22263	219	false	3953		1	false		263	4gyhm	0	0
4xwp6	21215	21866	82	false	80		6	false		454	4xwp6	0	0
6skn1	16070	gt-id-c8d2f54	82	false	2010		1	false		263	6skn1	0	0
79rbr	20316	20901	219	false	3675		3	false		454	79rbr	0	0
7ty9p	20126	17190	219	false	3601		1	false		263	7ty9p	0	0
8gd57	32785	22454	219	false	3675		1	false		1620	8gd57	0	0
8on85	18996	22044	82	false	3038	2075	1	false		6659	8on85	0	0
8wla2	34532	22070		true	3677	2075	100	false		4095	8wla2	0	0
93exz	21215	21866	82	false	80		6	false		454	93exz	0	0
a52ci	31205	22530	82	false	134	2073	1	false		263	a52ci	0	0
abl4p	36692	22465		true	3622	2125	100	false		264	abl4p	0	0
acrpj	21213	21826	82	false	80	2047	1	false		263	acrpj	0	0
apsrw	31205	21763	82	false	134	2044	1	false		263	apsrw	0	0
ar1cb	21957	22264	219	false	4065		1	false		2591	ar1cb	0	0
b3dwx	20318	22157	82	false	3675		3	false		454	b3dwx	0	0
c9swr	24669	16662	219	false	3675		1	false		4343	c9swr	1	0
cg9tp	21251	22263	219	false	3953		1	false		263	cg9tp	0	0
co7lk	18996	22044	82	false	3038	2075	1	false		2022	co7lk	0	0
dplyu	21215	22239	82	false	80	2096	5	false		454	dplyu	0	0
dziyo	20318	22157	82	false	3675		3	false		454	dziyo	0	0
e1kh0	20309	mo-id-ffddde0	82	false	3675		1	false		263	e1kh0	0	0
e2nks	31205	21763	82	false	134	2044	1	false		263	e2nks	0	0
e6ofj	25938	so-id-aa6b3f1	75	false	4170		1	false		4103	e6ofj	0	0
ekdoc	34532	22070		true	3677	2075	100	false		4103	ekdoc	0	0
ekl69	31205	22528	82	false	134	2073	1	false		263	ekl69	0	0
ekoij	20860	21417	219	false	3675		1	false		263	ekoij	0	0
f7np2	21218	21976	82	false	80	2032	7	false		263	f7np2	0	0
fbspl	20307	21064	219	false	3675	1952	1	false		263	fbspl	0	0
fwzy3	1117344	20375	82	false	5449	1886	1	false		4042	fwzy3	0	0
g9psh	20307	20201	219	false	3675		1	false		263	g9psh	0	0
hdnkc	1118563	22532	82	false	5449	2073	1	false		264	hdnkc	0	0
hdp6q	9789	10320	219	false	639		7	false		263	hdp6q	0	0
hfi9f	34532	22070		true	3677	2075	100	false		4103	hfi9f	0	0
hmgne	9595	so-id-aa6b3f1	75	false	609		1	false		263	hmgne	0	0
hox3j	20316	22157	219	false	3675		3	false		454	hox3j	0	0
hve4n	21215	22286	82	false	80	2103	2	false		454	hve4n	0	0
hyf3z	29944	21764	82	false	1615	2044	1	false		263	hyf3z	0	0
imyty	9370	22333	82	false	573	2104	1	false		2321	imyty	0	0
isy2c	21066	20447	219	false	3609		1	false		263	isy2c	0	0
j3icp	28323	mo-id-1e2d342	226	false	1290		1	false		263	j3icp	0	0
kcck9	18672	mo-id-cb78b6d	82	false	2800		1	false		263	kcck9	0	0
kdqpo	75029	22465		true	3622	2125	100	false		263	kdqpo	0	0
